
   INFO  Server running on [http://127.0.0.1:8125].  

  Press Ctrl+C to stop the server

  2026-09-19 13:10:05 /faq ............................................. ~ 4s
  2026-09-19 13:28:47 /faq ............................................. ~ 2s
  2026-09-19 13:28:49 /build/assets/app-BosLBwkO.css .............. ~ 30.84ms
  2026-09-19 13:28:49 /build/assets/app-D8MKG-Ji.js ............... ~ 35.23ms
  2026-09-19 13:28:53 /build/assets/app-D8MKG-Ji.js ................ ~ 1.67ms
  2026-09-19 13:29:30 /faq ............................................. ~ 1s
  2026-09-19 13:29:32 /build/assets/app-BosLBwkO.css .............. ~ 41.22ms
  2026-09-19 13:29:32 /build/assets/app-D8MKG-Ji.js ............... ~ 48.66ms
  2026-09-19 13:29:34 /build/assets/app-D8MKG-Ji.js ................ ~ 0.58ms
  2026-09-19 13:29:59 /faq ............................................. ~ 1s
  2026-09-19 13:30:00 /build/assets/app-BosLBwkO.css ............... ~ 0.54ms
  2026-09-19 13:30:00 /build/assets/app-D8MKG-Ji.js ................ ~ 2.34ms
  2026-09-19 13:31:05 /faq ............................................. ~ 2s
  2026-09-19 13:31:08 /build/assets/app-BosLBwkO.css ............... ~ 0.58ms
  2026-09-19 13:31:08 /build/assets/app-D8MKG-Ji.js ............... ~ 28.88ms
  2026-09-19 13:31:49 /faq ............................................. ~ 2s
  2026-09-19 13:31:52 /build/assets/app-BosLBwkO.css ............... ~ 2.06ms
  2026-09-19 13:31:52 /build/assets/app-D8MKG-Ji.js ................ ~ 6.11ms
  2026-09-19 13:32:26 / ................................................ ~ 1s
  2026-09-19 13:32:29 /build/assets/app-BosLBwkO.css ............. ~ 106.88ms
  2026-09-19 13:32:29 /build/assets/app-D8MKG-Ji.js .............. ~ 890.20ms
  2026-09-19 13:32:56 /faq ............................................. ~ 4s
  2026-09-19 13:33:01 /build/assets/app-BosLBwkO.css ............. ~ 150.20ms
  2026-09-19 13:33:01 /build/assets/app-D8MKG-Ji.js .................... ~ 1s
  2026-09-19 13:35:10 /faq ............................................. ~ 2s
  2026-09-19 13:35:13 /build/assets/app-BosLBwkO.css ............. ~ 258.67ms
  2026-09-19 13:35:13 /build/assets/app-D8MKG-Ji.js .............. ~ 264.03ms
  2026-09-19 13:35:13 /faq ....................................... ~ 588.62ms
  2026-09-19 13:35:15 /build/assets/app-BosLBwkO.css ............... ~ 1.44ms
  2026-09-19 13:35:15 /build/assets/app-D8MKG-Ji.js ................ ~ 0.43ms
  2026-09-19 13:36:01 /faq ....................................... ~ 536.62ms
  2026-09-19 13:36:02 /build/assets/app-BosLBwkO.css ............... ~ 0.40ms
  2026-09-19 13:36:02 /build/assets/app-D8MKG-Ji.js .............. ~ 768.22ms
  2026-09-19 13:36:04 /faq ............................................. ~ 1s
  2026-09-19 13:36:05 /build/assets/app-D8MKG-Ji.js ................ ~ 0.32ms
  2026-09-19 13:38:16 /faq ............................................. ~ 2s
  2026-09-19 13:38:18 /build/assets/app-BosLBwkO.css ............... ~ 0.86ms
  2026-09-19 13:38:18 /build/assets/app-D8MKG-Ji.js ................ ~ 2.38ms
  2026-09-19 13:49:53 /contact ................................... ~ 589.10ms
  2026-09-19 13:49:54 /build/assets/app-D8MKG-Ji.js ................ ~ 0.96ms
  2026-09-19 13:49:54 /build/assets/app-BosLBwkO.css .............. ~ 26.28ms
  2026-09-19 14:12:08 /faq ............................................. ~ 5s
  2026-09-19 14:13:52 /faq ............................................. ~ 1s
  2026-09-19 14:15:21 /faq ....................................... ~ 516.96ms
  2026-09-19 14:15:54 / .......................................... ~ 511.02ms
  2026-09-19 14:15:54 /services .................................. ~ 507.70ms
  2026-09-19 14:15:55 /pricing ................................... ~ 507.20ms
  2026-09-19 14:15:55 /how-it-works .............................. ~ 507.94ms
  2026-09-19 14:15:56 /why-growza ................................ ~ 503.68ms
  2026-09-19 14:15:56 /faq ....................................... ~ 508.61ms
  2026-09-19 14:15:57 /contact ................................... ~ 558.67ms
  2026-09-19 14:15:57 /terms ........................................... ~ 1s
  2026-09-19 14:15:58 /privacy ................................... ~ 508.58ms
  2026-09-19 14:15:59 /refund-policy ............................... ~ 0.28ms
  2026-09-19 14:15:59 /acceptable-use ............................ ~ 506.28ms
  2026-09-19 14:15:59 /cookie-policy ............................. ~ 516.11ms
  2026-09-19 14:16:00 /sitemap.xml ............................... ~ 505.35ms
  2026-09-19 14:16:01 /robots.txt ................................ ~ 511.05ms
  2026-09-19 14:16:01 /dev/design-system ............................... ~ 1s
  2026-09-19 14:16:02 /up ........................................ ~ 508.88ms
  2026-09-19 14:16:02 /definitely-not-a-page ..................... ~ 593.36ms
  2026-09-19 14:16:34 / .......................................... ~ 511.24ms
  2026-09-19 14:16:35 /services .................................. ~ 509.49ms
  2026-09-19 14:16:35 /pricing ................................... ~ 510.70ms
  2026-09-19 14:16:36 /how-it-works .............................. ~ 504.62ms
  2026-09-19 14:16:36 /why-growza ................................ ~ 521.75ms
  2026-09-19 14:16:37 /faq ....................................... ~ 513.77ms
  2026-09-19 14:16:37 /contact ................................... ~ 545.02ms
  2026-09-19 14:16:38 /legal/terms ..................................... ~ 1s
  2026-09-19 14:16:39 /legal/privacy ............................. ~ 509.23ms
  2026-09-19 14:16:39 /legal/refund-policy ....................... ~ 510.98ms
  2026-09-19 14:16:40 /legal/acceptable-use ............................ ~ 1s
  2026-09-19 14:16:41 /legal/cookie-policy ....................... ~ 507.53ms
  2026-09-19 14:16:41 /sitemap.xml ............................... ~ 509.64ms
  2026-09-19 14:16:42 /robots.txt ................................ ~ 524.30ms
  2026-09-19 14:16:42 /dev/design-system ......................... ~ 538.77ms
  2026-09-19 14:16:43 /up ........................................ ~ 512.01ms
  2026-09-19 14:16:44 /definitely-not-a-page ..................... ~ 743.39ms
  2026-09-19 14:19:02 / ................................................ ~ 1s
  2026-09-19 14:19:03 /build/assets/app-D77v-98-.css ............... ~ 6.44ms
  2026-09-19 14:19:03 /build/assets/app-D8MKG-Ji.js ................ ~ 9.20ms
  2026-09-19 14:19:05 / ................................................ ~ 1s
  2026-09-19 14:19:06 /build/assets/app-D77v-98-.css ............... ~ 8.77ms
  2026-09-19 14:19:06 /build/assets/app-D8MKG-Ji.js ............... ~ 35.64ms
  2026-09-19 14:19:06 /services ........................................ ~ 1s
  2026-09-19 14:19:08 /build/assets/app-D77v-98-.css ............... ~ 0.43ms
  2026-09-19 14:19:08 /build/assets/app-D8MKG-Ji.js ................ ~ 2.48ms
  2026-09-19 14:19:08 /pricing ................................... ~ 511.10ms
  2026-09-19 14:19:09 /build/assets/app-D77v-98-.css ............... ~ 0.39ms
  2026-09-19 14:19:09 /build/assets/app-D8MKG-Ji.js ............... ~ 11.78ms
  2026-09-19 14:19:09 /how-it-works .............................. ~ 508.93ms
  2026-09-19 14:19:10 /build/assets/app-D8MKG-Ji.js ................ ~ 0.33ms
  2026-09-19 14:19:10 /build/assets/app-D77v-98-.css ............... ~ 2.00ms
  2026-09-19 14:19:10 /why-growza ................................ ~ 531.59ms
  2026-09-19 14:19:10 /build/assets/app-D77v-98-.css ............... ~ 0.63ms
  2026-09-19 14:19:10 /build/assets/app-D8MKG-Ji.js ................ ~ 2.26ms
  2026-09-19 14:19:10 /faq ............................................. ~ 1s
  2026-09-19 14:19:11 /build/assets/app-D77v-98-.css .............. ~ 17.93ms
  2026-09-19 14:19:11 /build/assets/app-D8MKG-Ji.js ............... ~ 34.25ms
  2026-09-19 14:19:11 /contact ......................................... ~ 1s
  2026-09-19 14:19:12 /build/assets/app-D77v-98-.css ............... ~ 0.60ms
  2026-09-19 14:19:12 /build/assets/app-D8MKG-Ji.js .............. ~ 472.95ms
  2026-09-19 14:19:12 /legal/terms ............................... ~ 716.54ms
  2026-09-19 14:19:15 /build/assets/app-D77v-98-.css ............... ~ 0.62ms
  2026-09-19 14:19:15 /build/assets/app-D8MKG-Ji.js ................ ~ 0.48ms
  2026-09-19 14:19:15 /legal/privacy ................................... ~ 1s
  2026-09-19 14:19:16 /build/assets/app-D77v-98-.css ............... ~ 5.26ms
  2026-09-19 14:19:16 /build/assets/app-D8MKG-Ji.js ............... ~ 11.39ms
  2026-09-19 14:19:17 /legal/refund-policy ............................. ~ 1s
  2026-09-19 14:19:18 /build/assets/app-D8MKG-Ji.js ................ ~ 0.62ms
  2026-09-19 14:19:18 /build/assets/app-D77v-98-.css ............... ~ 3.00ms
  2026-09-19 14:19:18 /legal/acceptable-use ...................... ~ 512.50ms
  2026-09-19 14:19:19 /build/assets/app-D77v-98-.css ............... ~ 0.51ms
  2026-09-19 14:19:19 /build/assets/app-D8MKG-Ji.js ................ ~ 1.79ms
  2026-09-19 14:19:19 /legal/cookie-policy ....................... ~ 514.23ms
  2026-09-19 14:19:20 /build/assets/app-D77v-98-.css ............... ~ 0.37ms
  2026-09-19 14:19:20 /build/assets/app-D8MKG-Ji.js ................ ~ 1.69ms
  2026-09-19 14:19:20 /contact ......................................... ~ 1s
  2026-09-19 14:19:21 /build/assets/app-D77v-98-.css ............... ~ 0.83ms
  2026-09-19 14:19:21 /build/assets/app-D8MKG-Ji.js ................ ~ 4.71ms
  2026-09-19 14:19:22 /contact ......................................... ~ 2s
