
   INFO  Server running on [http://127.0.0.1:8125].  

  Press Ctrl+C to stop the server

  2026-09-18 06:13:58 .............................................. ~ 1.31ms
  2026-09-18 06:15:04 /faq ....................................... ~ 518.31ms
  2026-09-18 06:15:05 /build/assets/app-DUmGMxXs.css ............. ~ 175.45ms
  2026-09-18 06:15:05 /build/assets/app-D8MKG-Ji.js ................ ~ 1.34ms
  2026-09-18 06:16:10 ............................................. ~ 71.61ms
  2026-09-18 06:16:32 / .......................................... ~ 511.87ms
  2026-09-18 06:16:32 /services .................................. ~ 537.51ms
  2026-09-18 06:16:33 /pricing ................................... ~ 509.66ms
  2026-09-18 06:16:33 /how-it-works .............................. ~ 510.01ms
  2026-09-18 06:16:34 /faq ....................................... ~ 506.25ms
  2026-09-18 06:16:34 /contact ......................................... ~ 1s
  2026-09-18 06:16:35 /dev/design-system ......................... ~ 520.49ms
  2026-09-18 06:16:36 /up ........................................ ~ 538.35ms
  2026-09-18 06:16:45 /contact ......................................... ~ 1s
  2026-09-18 06:16:47 /build/assets/app-DUmGMxXs.css ............... ~ 1.59ms
  2026-09-18 06:16:47 /build/assets/app-D8MKG-Ji.js ............... ~ 49.46ms
  2026-09-18 06:19:26 .............................................. ~ 0.55ms
  2026-09-18 06:19:32 / .......................................... ~ 512.50ms
  2026-09-18 06:19:32 /services .................................. ~ 507.31ms
  2026-09-18 06:19:33 /pricing ................................... ~ 510.08ms
  2026-09-18 06:19:34 /how-it-works .............................. ~ 510.24ms
  2026-09-18 06:19:34 /faq ....................................... ~ 505.39ms
  2026-09-18 06:19:35 /contact ................................... ~ 508.76ms
  2026-09-18 06:19:35 /dev/design-system ......................... ~ 510.43ms
  2026-09-18 06:19:36 /up ........................................ ~ 505.82ms
  2026-09-18 06:22:30 .............................................. ~ 1.60ms
  2026-09-18 06:22:30 / ................................................ ~ 1s
  2026-09-18 06:22:32 /build/assets/app-BosLBwkO.css ............... ~ 1.49ms
  2026-09-18 06:22:32 /build/assets/app-D8MKG-Ji.js ................ ~ 5.81ms
  2026-09-18 06:22:40 / .......................................... ~ 511.40ms
  2026-09-18 06:22:40 /services ........................................ ~ 1s
  2026-09-18 06:22:42 /pricing ......................................... ~ 1s
  2026-09-18 06:22:42 /how-it-works .............................. ~ 521.20ms
  2026-09-18 06:22:43 /faq ....................................... ~ 511.79ms
  2026-09-18 06:22:43 /contact ................................... ~ 508.76ms
  2026-09-18 06:22:44 /dev/design-system ......................... ~ 508.11ms
  2026-09-18 06:22:45 /up ........................................ ~ 524.26ms
  2026-09-18 06:22:45 /build/manifest.json ......................... ~ 5.16ms
  2026-09-18 06:22:45 /build/assets/app-BosLBwkO.css ............... ~ 0.44ms
  2026-09-18 06:22:45 /build/assets/app-D8MKG-Ji.js ................ ~ 0.40ms
  2026-09-18 06:45:11 / ................................................ ~ 3s
  2026-09-18 06:45:14 /build/assets/app-BosLBwkO.css ............... ~ 0.61ms
  2026-09-18 06:45:14 /build/assets/app-D8MKG-Ji.js ................ ~ 4.94ms
  2026-09-18 06:45:42 /up ........................................ ~ 505.48ms
  2026-09-18 06:46:08 / .......................................... ~ 512.26ms
  2026-09-18 06:46:08 /services .................................. ~ 507.36ms
  2026-09-18 06:46:09 /pricing ................................... ~ 513.21ms
  2026-09-18 06:46:10 /how-it-works .................................... ~ 1s
  2026-09-18 06:46:11 /faq ....................................... ~ 506.86ms
  2026-09-18 06:46:11 /contact ................................... ~ 506.51ms
  2026-09-18 06:46:12 /dev/design-system ......................... ~ 647.62ms
  2026-09-18 06:46:12 /up ........................................ ~ 511.66ms
  2026-09-18 06:46:13 /build/manifest.json ......................... ~ 0.40ms
  2026-09-18 06:46:13 /build/assets/app-BosLBwkO.css ............. ~ 561.94ms
  2026-09-18 06:46:13 /build/assets/app-D8MKG-Ji.js ................ ~ 0.55ms
  2026-09-18 06:47:16 /how-it-works .................................... ~ 1s
  2026-09-18 06:47:18 /build/assets/app-BosLBwkO.css ............... ~ 0.72ms
  2026-09-18 06:47:18 /build/assets/app-D8MKG-Ji.js ................ ~ 3.12ms
  2026-09-18 06:54:39 /services ........................................ ~ 1s
  2026-09-18 06:54:40 /build/assets/app-D8MKG-Ji.js ................ ~ 0.57ms
  2026-09-18 06:54:40 /build/assets/app-BosLBwkO.css .............. ~ 17.38ms
  2026-09-18 06:54:53 / .......................................... ~ 555.16ms
  2026-09-18 06:54:54 /build/assets/app-D8MKG-Ji.js ................ ~ 0.46ms
  2026-09-18 06:54:54 /build/assets/app-BosLBwkO.css .............. ~ 79.65ms
  2026-09-18 06:59:12 /faq ............................................. ~ 2s
  2026-09-18 06:59:14 /build/assets/app-D8MKG-Ji.js ............... ~ 33.97ms
  2026-09-18 06:59:14 /build/assets/app-BosLBwkO.css ............. ~ 125.99ms
  2026-09-18 06:59:42 /contact ................................... ~ 515.72ms
  2026-09-18 06:59:43 /build/assets/app-BosLBwkO.css ............... ~ 0.51ms
  2026-09-18 06:59:43 /build/assets/app-D8MKG-Ji.js .............. ~ 745.11ms
  2026-09-18 07:00:16 /pricing ................................... ~ 569.27ms
  2026-09-18 07:00:17 /build/assets/app-BosLBwkO.css ............... ~ 0.53ms
  2026-09-18 07:00:17 /build/assets/app-D8MKG-Ji.js ................ ~ 2.93ms
  2026-09-18 07:00:56 /contact ................................... ~ 518.22ms
  2026-09-18 07:00:56 /build/assets/app-D8MKG-Ji.js ................ ~ 2.87ms
  2026-09-18 07:00:56 /build/assets/app-BosLBwkO.css .............. ~ 21.00ms
  2026-09-18 07:16:09 / ................................................ ~ 4s
  2026-09-18 07:16:14 /build/assets/app-BosLBwkO.css ............... ~ 5.85ms
  2026-09-18 07:16:14 /build/assets/app-D8MKG-Ji.js ............... ~ 22.74ms
  2026-09-18 07:16:15 / ................................................ ~ 2s
  2026-09-18 07:16:17 /build/assets/app-D8MKG-Ji.js ................ ~ 0.61ms
  2026-09-18 07:16:17 /build/assets/app-BosLBwkO.css ............... ~ 4.68ms
  2026-09-18 07:16:18 /services ........................................ ~ 1s
  2026-09-18 07:16:20 /build/assets/app-BosLBwkO.css ............... ~ 3.15ms
  2026-09-18 07:16:20 /build/assets/app-D8MKG-Ji.js ................ ~ 4.86ms
  2026-09-18 07:16:21 /pricing ......................................... ~ 1s
  2026-09-18 07:16:24 /build/assets/app-BosLBwkO.css ............... ~ 0.65ms
  2026-09-18 07:16:24 /build/assets/app-D8MKG-Ji.js .............. ~ 233.04ms
  2026-09-18 07:16:25 /how-it-works .................................... ~ 2s
  2026-09-18 07:16:27 /build/assets/app-BosLBwkO.css ............... ~ 8.03ms
  2026-09-18 07:16:27 /build/assets/app-D8MKG-Ji.js ............... ~ 19.57ms
  2026-09-18 07:16:28 /faq ............................................. ~ 5s
  2026-09-18 07:16:36 /build/assets/app-BosLBwkO.css ............... ~ 0.75ms
  2026-09-18 07:16:36 /build/assets/app-D8MKG-Ji.js ................ ~ 4.33ms
  2026-09-18 07:16:37 /contact ......................................... ~ 3s
  2026-09-18 07:16:40 /build/assets/app-BosLBwkO.css ............... ~ 0.81ms
  2026-09-18 07:16:40 /build/assets/app-D8MKG-Ji.js ............... ~ 54.55ms
  2026-09-18 07:16:42 /dev/design-system ............................... ~ 1s
  2026-09-18 07:16:43 /build/assets/app-BosLBwkO.css ............... ~ 0.70ms
  2026-09-18 07:16:43 /build/assets/app-D8MKG-Ji.js ................ ~ 2.95ms
  2026-09-18 07:16:44 /up .............................................. ~ 1s
  2026-09-18 07:18:55 /dev/design-system ............................... ~ 3s
  2026-09-18 07:18:59 /build/assets/app-BosLBwkO.css ............... ~ 0.49ms
  2026-09-18 07:18:59 /build/assets/app-D8MKG-Ji.js ................ ~ 3.37ms
  2026-09-18 07:19:30 /dev/design-system ............................... ~ 1s
  2026-09-18 07:19:32 /build/assets/app-BosLBwkO.css ............... ~ 1.51ms
  2026-09-18 07:19:32 /build/assets/app-D8MKG-Ji.js ................ ~ 6.22ms
  2026-09-18 07:20:49 /dev/design-system ............................... ~ 3s
  2026-09-18 07:20:52 /dev/design-system ............................... ~ 2s
  2026-09-18 07:20:53 /build/assets/app-BosLBwkO.css ............... ~ 0.33ms
  2026-09-18 07:20:53 /build/assets/app-D8MKG-Ji.js ................ ~ 2.65ms
  2026-09-18 07:20:54 /build/assets/app-BosLBwkO.css .............. ~ 74.13ms
  2026-09-18 07:20:54 /build/assets/app-D8MKG-Ji.js .............. ~ 145.46ms
  2026-09-18 07:21:25 / ................................................ ~ 2s
  2026-09-18 07:21:27 /build/assets/app-BosLBwkO.css ............... ~ 0.33ms
  2026-09-18 07:21:27 /build/assets/app-D8MKG-Ji.js ................ ~ 0.35ms
  2026-09-18 07:22:00 / ................................................ ~ 1s
  2026-09-18 07:22:02 /build/assets/app-BosLBwkO.css .............. ~ 12.81ms
  2026-09-18 07:22:02 /build/assets/app-D8MKG-Ji.js ................ ~ 1.13ms
  2026-09-18 07:22:05 /build/assets/app-D8MKG-Ji.js ................ ~ 0.56ms
  2026-09-18 07:22:22 /faq ............................................. ~ 1s
  2026-09-18 07:22:23 /build/assets/app-BosLBwkO.css ............... ~ 0.69ms
  2026-09-18 07:22:23 /build/assets/app-D8MKG-Ji.js ................ ~ 3.11ms
  2026-09-18 07:22:57 / ................................................ ~ 1s
  2026-09-18 07:22:59 /build/assets/app-BosLBwkO.css ............... ~ 0.30ms
  2026-09-18 07:22:59 /build/assets/app-D8MKG-Ji.js ................ ~ 1.95ms
  2026-09-18 07:24:03 /dev/design-system ............................... ~ 1s
  2026-09-18 07:24:05 /build/assets/app-BosLBwkO.css ............... ~ 1.56ms
  2026-09-18 07:24:05 /build/assets/app-D8MKG-Ji.js ................ ~ 7.58ms
  2026-09-18 07:24:07 /build/assets/app-D8MKG-Ji.js ................ ~ 0.67ms
  2026-09-18 07:26:17 /faq ............................................. ~ 1s
  2026-09-18 07:26:19 /build/assets/app-BosLBwkO.css ............... ~ 1.23ms
  2026-09-18 07:26:19 /build/assets/app-D8MKG-Ji.js ................ ~ 3.89ms
  2026-09-18 07:27:47 /faq ............................................. ~ 2s
  2026-09-18 07:27:49 /build/assets/app-BosLBwkO.css ............... ~ 1.83ms
  2026-09-18 07:27:49 /build/assets/app-D8MKG-Ji.js ............... ~ 11.68ms
  2026-09-18 07:28:31 /faq ............................................. ~ 1s
  2026-09-18 07:28:33 /build/assets/app-BosLBwkO.css ............... ~ 9.46ms
  2026-09-18 07:28:33 /build/assets/app-D8MKG-Ji.js ............... ~ 11.87ms
  2026-09-18 07:29:24 /faq ............................................. ~ 2s
  2026-09-18 07:29:26 /build/assets/app-BosLBwkO.css ............... ~ 0.51ms
  2026-09-18 07:29:26 /build/assets/app-D8MKG-Ji.js ................ ~ 2.62ms
  2026-09-18 07:29:27 /build/assets/app-D8MKG-Ji.js ................ ~ 0.53ms
  2026-09-18 07:29:28 /build/assets/app-D8MKG-Ji.js?probe=1 ........ ~ 0.91ms
  2026-09-18 07:30:24 /faq ............................................. ~ 1s
  2026-09-18 07:30:25 /build/assets/app-BosLBwkO.css ............... ~ 0.46ms
  2026-09-18 07:30:25 /build/assets/app-D8MKG-Ji.js .............. ~ 606.75ms
  2026-09-18 07:30:48 ............................................ ~ 510.01ms
  2026-09-18 07:30:48 /faq ............................................. ~ 3s
  2026-09-18 07:30:51 /build/assets/app-BosLBwkO.css ............... ~ 0.34ms
  2026-09-18 07:30:51 /build/assets/app-D8MKG-Ji.js ................ ~ 1.73ms
  2026-09-18 07:31:12 /faq ............................................. ~ 1s
  2026-09-18 07:31:14 /build/assets/app-D8MKG-Ji.js ................ ~ 0.57ms
  2026-09-18 07:31:14 /build/assets/app-BosLBwkO.css .............. ~ 98.36ms
  2026-09-18 07:32:56 /faq ............................................. ~ 4s
  2026-09-18 07:33:01 /build/assets/app-BosLBwkO.css ............... ~ 7.89ms
  2026-09-18 07:33:01 /build/assets/app-D8MKG-Ji.js ............... ~ 21.63ms
  2026-09-18 07:33:21 /faq ....................................... ~ 509.71ms
  2026-09-18 07:33:47 /faq ............................................. ~ 1s
  2026-09-18 07:33:49 /build/assets/app-BosLBwkO.css ............... ~ 0.42ms
  2026-09-18 07:33:49 /build/assets/app-D8MKG-Ji.js ................ ~ 1.82ms
  2026-09-18 07:36:47 / ................................................ ~ 2s
  2026-09-18 07:36:50 /build/assets/app-BosLBwkO.css .............. ~ 18.01ms
  2026-09-18 07:36:50 /build/assets/app-D8MKG-Ji.js ................ ~ 0.90ms
  2026-09-18 07:36:51 / ................................................ ~ 2s
  2026-09-18 07:36:53 /build/assets/app-BosLBwkO.css ............... ~ 0.53ms
  2026-09-18 07:36:54 /build/assets/app-D8MKG-Ji.js .............. ~ 319.01ms
  2026-09-18 07:36:54 /services ........................................ ~ 1s
  2026-09-18 07:36:56 /build/assets/app-BosLBwkO.css .............. ~ 43.84ms
